flight_id,failure_within_horizon
45,0.00989820012329348
46,0.0336585957495483
47,0.010963694100182515
48,0.016616947310226955
49,0.03641867615045815
50,0.03547215635895839
51,0.019542169841340506
52,0.030952750228337603
53,0.055639704156628195
54,0.03526533779159221
55,0.03620050083660317
56,0.04539152472334158
57,0.07119359473648416
58,0.03938610801082694
59,0.043750578966804385
60,0.04014820037645055
61,0.026212292619916318
62,0.039285021724780954
63,0.19135810075087906
64,0.15919700195493583
65,0.09115760305283427
66,0.12345494285671146
67,0.1529514161750348
68,0.23003214400316516
69,0.23065342487051504
70,0.22031985961381162
71,0.14659355377853828
72,0.14795470960286805
73,0.20762592101675392
74,0.4752102112415523
75,0.4434312086965521
76,0.41728941504658273
77,0.3434693607506384
78,0.32355971320999594
79,0.4424306328659053
80,0.42243227299910474
81,0.3553585599857231
82,0.019978813757629235
83,0.02206009059224661
84,0.04403719330679988
85,0.04288083832443797
86,0.02940899879395433
87,0.046420944222693404
88,0.094724856181438
89,0.03786775380080392
90,0.051628019394032436
91,0.04617385636619334
92,0.049480135897611265
93,0.05774482316087048
94,0.030778370394148224
95,0.05026363298023326
96,0.09446755289434755
97,0.08840725373221799
98,0.1459575689085196
99,0.1112886893578293
100,0.16032996550444545
101,0.16403938349555774
102,0.578999050940063
103,0.1720650554900176
104,0.2985998009566665
165,0.05799873720344917
166,0.030657637018080813
167,0.04162214452616114
168,0.0776730878360579
169,0.051733402990631915
170,0.04044846441115933
171,0.052001054281171515
172,0.039099360942505816
173,0.04699079668222374
174,0.05281649293109433
175,0.06467655747125473
176,0.12819038198949084
177,0.08168865519101046
178,0.07649119574375386
179,0.15882821553109916
180,0.09234573855016918
181,0.11184319943538146
182,0.40909578323685014
183,0.10786250793935305
240,0.02375212981416844
241,0.02033469395854896
242,0.022707449077577817
243,0.03709743524785818
244,0.044193577994724634
245,0.08075874925892088
246,0.07566272620412116
247,0.029958285252014476
248,0.05710832864741573
249,0.12659170628330912
250,0.02875949790820729
251,0.071460222830375
252,0.06697742961660959
253,0.0524564331436499
254,0.05637845688381165
255,0.05636468113281157
256,0.0526029802445436
257,0.061630484617657556
288,0.028292881114801896
289,0.0325365044159666
290,0.018141245206425585
291,0.03241211181425855
292,0.027940506990482533
293,0.026496233042488326
294,0.029137962416812088
295,0.045843471329176454
296,0.07909066946478255
297,0.04737911596711964
298,0.08870612782653722
299,0.04812811954404893
300,0.053927377092282264
301,0.14646468810372157
302,0.06279013528442584
303,0.14863591797100653
304,0.11828586001653517
305,0.1975324691308646
406,0.01640112524752566
407,0.02012144227793455
408,0.024813026807897723
409,0.027474827645362944
410,0.05349620183922062
411,0.046500414302629106
412,0.061583923289362914
413,0.020707238900864875
414,0.0460111366688483
415,0.03667587590871589
416,0.05203279097057259
417,0.035777602008858225
418,0.0690671410816777
419,0.06294548909903179
420,0.0440181226337005
421,0.07685368266513601
422,0.15196807863454231
423,0.0892480244897946
424,0.143744583621298
425,0.11093163152390667
426,0.11672592433395708
427,0.2648176955823295
428,0.18791629170269214
429,0.3200239470871113
430,0.19455493305139177
431,0.12772189200377648
432,0.3122879595293331
433,0.23281313146204097
637,0.01746851370252373
638,0.0224501520428392
639,0.03595799148527449
640,0.01869484902895978
641,0.026614576130471718
642,0.01937184383804372
643,0.031190854855425974
644,0.033555877458655
645,0.07103432992130143
